Barcode,Difference
s_008um_00290_00452-1,0
s_008um_00447_00469-1,0
s_008um_00625_00521-1,0
s_008um_00266_00330-1,0
s_008um_00372_00097-1,0
s_008um_00312_00775-1,0
s_008um_00132_00629-1,0
s_008um_00478_00202-1,0
s_008um_00319_00695-1,0
s_008um_00073_00432-1,0
s_008um_00199_00681-1,0
s_008um_00590_00576-1,0
s_008um_00223_00672-1,0
s_008um_00318_00404-1,0
s_008um_00442_00106-1,0
s_008um_00304_00720-1,0
s_008um_00357_00094-1,0
s_008um_00368_00289-1,0
s_008um_00270_00481-1,0
s_008um_00105_00541-1,0
s_008um_00627_00579-1,0
s_008um_00296_00618-1,0
s_008um_00248_00295-1,0
s_008um_00168_00697-1,0
s_008um_00276_00393-1,0
s_008um_00274_00264-1,0
s_008um_00282_00189-1,0
s_008um_00384_00234-1,0
s_008um_00607_00406-1,0
s_008um_00176_00532-1,0
s_008um_00186_00534-1,0
s_008um_00556_00581-1,0
s_008um_00287_00798-1,0
s_008um_00143_00685-1,0
s_008um_00144_00728-1,0
s_008um_00334_00593-1,0
s_008um_00342_00448-1,0
s_008um_00440_00403-1,0
s_008um_00383_00590-1,0
s_008um_00361_00731-1,0
s_008um_00571_00553-1,0
s_008um_00369_00144-1,0
s_008um_00484_00559-1,0
s_008um_00201_00799-1,0
s_008um_00315_00365-1,0
s_008um_00168_00568-1,0
s_008um_00543_00253-1,0
s_008um_00594_00468-1,0
s_008um_00316_00703-1,0
s_008um_00147_00243-1,0
s_008um_00623_00500-1,0
s_008um_00296_00220-1,0
s_008um_00336_00443-1,0
s_008um_00453_00745-1,0
s_008um_00559_00256-1,0
s_008um_00320_00657-1,0
s_008um_00293_00360-1,0
s_008um_00486_00503-1,0
s_008um_00444_00100-1,0
s_008um_00536_00265-1,0
s_008um_00581_00619-1,0
s_008um_00240_00751-1,0
s_008um_00092_00309-1,0
s_008um_00418_00833-1,0
s_008um_00473_00367-1,0
s_008um_00225_00286-1,0
s_008um_00236_00392-1,0
s_008um_00351_00611-1,0
s_008um_00828_00570-1,0
s_008um_00129_00294-1,0
s_008um_00490_00499-1,0
s_008um_00172_00176-1,0
s_008um_00559_00273-1,0
s_008um_00430_00442-1,0
s_008um_00299_00320-1,0
s_008um_00475_00539-1,0
s_008um_00177_00361-1,0
s_008um_00316_00215-1,0
s_008um_00306_00640-1,0
s_008um_00192_00670-1,0
s_008um_00251_00784-1,0
s_008um_00071_00444-1,0
s_008um_00575_00485-1,0
s_008um_00493_00316-1,0
s_008um_00309_00287-1,0
s_008um_00031_00248-1,0
s_008um_00185_00755-1,0
s_008um_00130_00721-1,0
s_008um_00389_00651-1,0
s_008um_00398_00277-1,0
s_008um_00420_00242-1,0
s_008um_00110_00515-1,0
s_008um_00202_00718-1,0
s_008um_00459_00782-1,0
s_008um_00613_00611-1,0
s_008um_00403_00732-1,0
s_008um_00329_00774-1,0
s_008um_00371_00825-1,0
s_008um_00371_00833-1,0
s_008um_00457_00269-1,0
s_008um_00338_00193-1,0
s_008um_00277_00647-1,0
s_008um_00455_00188-1,0
s_008um_00451_00426-1,0
s_008um_00267_00229-1,0
s_008um_00102_00340-1,0
s_008um_00190_00501-1,0
s_008um_00355_00226-1,0
s_008um_00187_00197-1,0
s_008um_00123_00682-1,0
s_008um_00627_00541-1,0
s_008um_00626_00513-1,0
s_008um_00332_00152-1,0
s_008um_00271_00552-1,0
s_008um_00260_00341-1,0
s_008um_00177_00171-1,0
s_008um_00222_00186-1,0
s_008um_00342_00643-1,0
s_008um_00079_00474-1,0
s_008um_00218_00548-1,0
s_008um_00357_00804-1,0
s_008um_00406_00399-1,0
s_008um_00389_00301-1,0
s_008um_00401_00493-1,0
s_008um_00496_00751-1,0
s_008um_00352_00152-1,0
s_008um_00145_00377-1,0
s_008um_00283_00273-1,0
